Input.hotel_name,Input.hotel_address,Input.p-slot0,Input.p-slot1,Input.p-slot2,Input.p-slot3,Input.p-slot4,Input.p-slot5,Input.r-slot0,Input.r-slot1,Input.r-slot2,Input.r-slot3,Answer.turn_01_agent,Answer.turn_02_customer,Answer.turn_03_agent,Answer.turn_04_customer,Answer.turn_05_agent,Answer.turn_06_customer,Answer.turn_07_agent,Answer.turn_08_customer,Answer.turn_09_agent,Answer.turn_10_customer,Answer.turn_11_agent,Answer.turn_12_customer,Answer.turn_13_agent,Answer.turn_14_customer
Grand Wailea,"3850 Wailea Alanui Drive, Kihei, Hawaii 96753, United States",has_breakfast_continental,feels_upscale,feels_tropical,has_childrens_club,has_spa,has_onsite_club_room,has_balcony_in_rooms,has_coffee_in_rooms,has_minifridge_in_rooms,has_whirlpool_tub,"Hello there, what can I help you with today?","Hi, I'm going on vacation with my kids in Hawaii. This is their first time there and I want to make it an enjoyable experience for them.","Oh, they're going to have so much fun! Was there anything specific you were looking for?","Not specific, exactly. I just want to make sure it's kid friendly.",Absolutely! I have a place here that has a children's club as well as an onsite club room.,"Wow, that sounds nice! Is there something for me while they're off doing that?",Absolutely. The property also has a fantastic spa for a more tropical feel.,I love a good spa day. What are the rooms like?,"The rooms are nice. They have the standard coffee and minifridge in the rooms, but they also have a balcony and a whirlpool tub for a bit of a more upscale touch.",Oh that sounds like heaven. What about food?,I see here that it does have a continental breakfast.,"Okay, great. And what was this place called again?","It's called the Grand Wailea on the Big Island. The exact address is 3850 Wailea Alanui Drive, Kihei, Hawaii, zip code 96753.",Super! Thanks so much!
Hard Rock Hotel Palm Springs,"150 S Indian Canyon Dr, Palm Springs, CA 92262, USA",feels_luxury,feels_modern,feels_elegant,feels_contemporary,feels_upscale,has_bar_onsite,has_fireplace,has_coffee_in_rooms,has_balcony_in_rooms,has_mini_bar_in_room,Hello. What can I do for you today?,"I'm looking for a room in Palm Springs, CA, with an elegant, luxurious feel. Do you have anything like that?","We definitely do. The Hard Rock Hotel Palm Springs located AT 150 S Indian Canyon drive has a modern, elegant feel to it.",What makes it elegant?,A fireplace and a balcony in each room helps contribute to an upscale feel and helps gives the impression of a luxury setting.,That sounds good. What else is in the rooms?,Each room comes equipped with coffee and a mini bar.,"Eh, I'm still thinking about the fireplace. What else is there?","There's also a bar on site, to help give off a contemporary vibe as well.",This place sounds perfect for me. I like it a lot.,I'm so glad I could be of assistance for you today. Is there anything else I can help you with?,"Nope. You said that it was located on S Indian Canyon drive, right?","Correct, the full address is Hard Rock Hotel Palm Springs, 150 S Indian Canyon Dr, Palm Springs, California, 92262.",Awesome. I'll make sure to jot that down. Thanks again!
Harrah's Cherokee Casino Resort,"777 Casino Drive, Cherokee, NC 28719, USA",feels_upscale,great_views,has_spa,has_fitness_center,has_swimming_pool_indoor,has_swimming_pool_outdoor,has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_whirlpool_tub,"Good afternoon, what can I assist you with today?","Hi, I'm going to be travelling to Cherokee, North Carolina. I'm from up north, so I really want to do a lot of swimming while I'm there.","I can definitely help with that! I have a place here that has not just an outdoor swimming pool, but an indoor pool as well.","Oh, that's good. Never can control the weather, can we?","Nope, but we can work around it! This place also has a bit of an upscale feel, with a full spa and a fitness center.","Oh, I do love a good spa day. What's the surrounding area like?","It's located around the casino area, but it's still able to boast some great views.",That's good to know. What are the rooms like? Standard?,"Yup! They feature all your classic amenities like a microwave, coffee, minifridge, and even a whirlpool tub.",Oh those are nice. I really like the sound of this place. What's the name of it again?,"It's the Harrah's Cherokee Casino Resort located at 777 Casino Drive, Cherokee, zip code 28719.",A casino resort sounds awesome. I can't wait!,It definitely sounds like you're going to have a blast! Is there anything else I can help you with today?,"Nope, you've covered it all. Thanks so much!"
Harrah's Resort Atlantic City,"777 Harrah's Blvd, Atlantic City, NJ 08401, USA",feels_upscale,has_boardwalk,feels_casual,has_casino,feels_modern,has_spa,has_floor_to_ceiling_windows_in_rooms,has_rooms_upgraded,has_water_views,has_shower_rainfall_in_rooms,Good morning! What can I assist you with today?,Hello! Me and the wife are headed to Atlantic City and we want to go all out. Give me the best place you got.,"Okay, I think I know a good place for you and the missus. Harrah's Resort Atlantic City on 777 Harrah's Boulevard is known for having an upscale feel to it.",Upscale is definitely a must here. What's it got?,"The rooms have all been upgraded to give it a more modern feel. Each room has floor to ceiling windows, and there is a rainfall shower in the bathroom.",That sounds awesome. Tell me more!,"Each room has views of the water, and there is a boardwalk around the property for you to stroll along at night if you are looking for a more casual feel.","Oh that sounds nice. Maybe get some ice cream, yeah. We definitely plan on hitting the casinos.","I think we're in luck,  then. This place has a casino on the property.",Get out? Really? A casino right on the property?,"Yup, there is also a spa on the property as well, for you and your wife to enjoy.","Well, more for my wife than me, but we'll see what happens. If we win big, who knows?","That's the Atlantic City spirit! Is there anything else I can do for you today, sir?","No thank you, you've been amazing."
Hilton Anaheim,"777 West Convention Way, Anaheim, CA 92802, USA",has_bar_onsite,feels_modern,has_bar_poolside,feels_contemporary,has_business_center,has_fitness_center,has_floor_to_ceiling_windows_in_rooms,has_rooms_upgraded,has_minifridge_in_rooms,has_wet_bar_in_rooms,Hi there! What can I help you with today?,Hey I'm going to be staying in Anaheim next week for spring break and I'm pretty picky.,"Of course, that's no problem at all! What is it you're looking for?","Okay, um, well, since it's spring break, we plan on drinking. A lot. And we don't want to risk driving or anything like that so there has to be a bar on site or don't even tell me about it.","Don't worry, no judgement from me! Let's see. The Hilton Anaheim located at 777 West Convention Way may be a good choice for you.",It has a bar on site?,"It does have a bar on site. It also has a poolside bar, as well as a wet bar and a minifridge in the room.",Oh wow that sounds perfect. Okay. What else does it have?,"The rooms have all been upgraded to have a more modern feel, and floor to ceiling windows have been added to the rooms to give off more of a contemporary vibe.","Nice, I like the sound of that. Does it have a gym?","Yes. Not only does it have a fitness center, but it also looks like it has a business center as well.","Nah, not planning on doing any business, but  thanks though. The rooms sound cool and I like the bar options.",It's great that we were able to work together to find a good option for you. Is there anything else I can help you with today?,"No thanks, I'm cool. Thank you."
Hilton Garden Inn Denver Downtown,"1400 Welton St, Denver, CO 80202, United States",feels_modern,feels_contemporary,has_business_center,feels_upscale,has_restaurant,has_convention_center,has_desk_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_sofa_bed,"Hi there, what can I do for you today?",I'm going to be travelling to Denver to work so I need a good place to stay.,"Okay, I think I can help you with that. The Hilton Garden Inn Denver Downtown, located at 1400 Welton Street, is a popular spot for people travelling for work.",Oh yeah? What different features does it have?,"Not only does it have a full business center to give it a more modern feel, but it also has a convention center on the property.","Wow, a convention center? That's pretty nice. What else does it have?","The property itself has an upscale feel to it, and there is a restaurant located on the premises as well.",That all sounds good. What about the rooms?,"The rooms have a bit more of a contemporary feel. They are all equipped with the standard microwave, minifridge, and sofa bed.","Ah, I see. The convention center sounds really cool. I'll have to check it out when I'm not working.","Speaking of work, each room is also equipped with a desk, which should make your work easier.","Oh wow, okay. That's good to know. Thanks for your help.",No problem! Is there anything else I can do for you today?,"Nope, you've been great. Thanks."
Hilton Garden Inn Nashville Vanderbilt,"1715 Broadway, Nashville, TN 37203, USA",feels_contemporary,has_ballroom,feels_modern,feels_upscale,has_business_center,feels_casual,has_microwave_in_rooms,has_minifridge_in_rooms,has_sofa_bed,has_whirlpool_tub,"Hi there, what can I do for you today?","Hi, I'm going to be visiting Nashville for the first time ever for work, but I want a place that's a bit luxurious too.",Of course! I think I can help. The Hilton Garden Inn Nashville Vanderbilt has a modern feel to it and comes equipped with a business center.,"Modern is nice, what about luxury?","I see here that it has a ballroom, which definitely helps give it an upscale feel.",Now we're talking. What about the rooms?,"The rooms have a bit more of a casual vibe, to be honest with you. They are equipped with a microwave, minifridge, and a sofa bed.","Oh well, can't win them all. I'm really won over by that ballroom though.","If it helps, the rooms each have a whirlpool tub or a bit more of a contemporary touch.",Now we're talking! Can I get the address to this place?,"Sure! It's the Hilton Garden Inn Nashville Vanderbilt, and it's located at 1715 Broadway, Nashville, zip code 37203.","Awesome, I've got that written down. Thanks!",Glad I could help. Is there anything else I can help you with today?,"Nope, you've been awesome. Thanks so much!"
Hilton Times Square,"234 W 42nd St, New York, NY 10036, USA",feels_lively,has_business_center,feels_contemporary,has_fitness_center,has_meeting_rooms,is_streamlined,has_desk_in_rooms,has_safe_in_room,has_minifridge_in_rooms,has_sofa_bed,"Hi there, how can I be of assistance today?","Hi, I'm going to a work conference in New York and need a place to stay.",Of course! Is there anything specific that you're looking for?,It's a work conference so I want it to have a business center. That's a must. Also a desk in the room would be nice as well.,I think I have just the thing for you. The Hilton Times Square located at 234 W 42nd Street seems like it would be a good match for your needs.,It has a business center?,"Not only does it have a business center, but it also has meeting rooms, and a desk in your room.",Meeting rooms too? What's the feel of the place?,"It's very streamlined which contributes to a lively, contemporary feel. It also has a fitness center as well.",I'm not much for working out. Are there any other amenities in the room?,"Yes, it also has a safe, a minifridge, and a sofa bed for your convenience as well.",I can't imagine why I'd need a sofa bed but the business center is definitely a must. Seems like a good place.,It is! Is there anything else that I can assist you with today?,"Nope, that's all. Thanks for your time."
Holiday Inn & Suites Chicago-Downtown,"506 W Harrison St, Chicago, IL 60607, USA",feels_modern,has_business_center,feels_upscale,feels_contemporary,has_bar_onsite,is_open_seasonally,has_desk_in_rooms,has_coffee_in_rooms,has_kitchenette_in_rooms,has_microwave_in_rooms,"Good afternoon, how can I be of assistance today?","Hi, I'm going to be visiting Chicago for work and I need something with a business center.",I understand! The Holiday Inn & Suites Chicago-Downtown located on 506 W Harrison Street has a business center and has a desk in the room that helps the room feel more modern.,"Oh, that's good. I didn't even think about that. I'll be there for a few days so that helps.","If you're going to be there a few days, I think it'll help to know that each room has coffee, a microwave, and a kitchenette for a more upscale feel.",Oh I like that a lot. I'm not a huge eater so I probably won't use that much. Is there a bar though?,"There is a bar on site, which helps give a more contemporary atmosphere to the property.","A bar definitely works for me, although I probably shouldn't have said that since I said it's a business trip!",Your secret is safe with me! May I ask when you're going?,"Uh, soon. I don't have the exact date yet. Why?","I see that this hotel is open seasonally, so I wanted to make sure you're aware of that.","Okay, that shouldn't be a problem. I'll get the date and sort it all out.",Okay perfect. Is there anything else I can assist you with today?,"No, you've been a big help. Thanks!"
Holiday Inn Hotel and Suites Anaheim,"1240 S Walnut St, Anaheim, CA 92802, United States",has_airport_shuttle,feels_modern,has_fitness_center,has_restaurant,has_free_breakfast,has_swimming_pool_outdoor,has_coffee_in_rooms,has_desk_in_rooms,has_microwave_in_rooms,has_kitchenette_in_rooms,Good morning! What can I do for you today?,"Hi, I'm travelling to Anaheim for work and I'm going to be staying there for a week so I need a really good place with a lot of features.",I totally understand that! Is there anything that you would prefer in a room?,"I'm not picky, just something that has a lot of features so I don't get bored.",I understand. I'm looking at a place now with a fitness center and an outdoor swimming pool. How does that sound?,Oh a pool sounds nice. It's been forever since I've went swimming. What else does it have?,"The rooms all have a modern feel to them. They are all equipped with coffee, a microwave, and a kitchenette. They also have a desk, which would be helpful for your work needs.","That it would, but the kitchenette seems like a bit much. I'm a bit of a take-out queen. I can't really cook.","No problem at all! The property also boasts a restaurant on the premises, as well as a free breakfast.","Now you're speaking my language. Now, how far is it from the airport?",It's not too far. The hotel offers an airport shuttle to take you back and forth as needed.,"Oh, phew. That's great. I really didn't want to have to rent a car. Can I have the address for this place, please?","Sure, it's the Holiday Inn Hotel and Suites Anaheim, located at 1240 S Walnut St, Anaheim, zip code 92802.",Perfect. Thanks so much. I appreciate it.
Holiday Inn Port Of Miami-Downtown,"340 Biscayne Boulevard, Miami, FL 33132, USA",feels_contemporary,has_bar_onsite,feels_modern,has_fitness_center,has_restaurant,has_free_breakfast,has_coffee_in_rooms,has_desk_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,Thanks for reaching out. How can I be of assistance today?,"Hi, I'm looking for a good place for my family and I in Miami, Florida.","Oh, Miami is a great place. Great beaches! Is there anything specific that you're looking for?","Hm, well, let's see. I think just something traditional, you know? Not too over the top.","I understand! The Holiday Inn Port of Miami-Downtown located in 340 Biscayne Boulevard is a modern hotel with all of the traditional amenities, such as free breakfast and a fitness center.","Oh, that sounds nice. What else does it have?","It has a bar on site for a more contemporary feel, and it also boasts a full service restaurant as well.","Oh that's good, I don't like to travel far to eat. What about the rooms?","There is a desk in each room. There is also coffee in the rooms, as well as a microwave and a minifridge for all your snacking needs.",That sounds good. And I remember you said it had a fitness center?,"Yes, it has a modern fitness center for all your exercising needs.",That's good. Got to make sure I'm beach body ready before I hit those beaches!,It totally understand that! Is there anything else I can help you with today?,"Nope, you've been great. Thanks for your time."
Hotel del Coronado,"1500 Orange Avenue, Coronado, CA 92118, USA",feels_upscale,feels_modern,feels_contemporary,has_bar_onsite,has_spa,has_resort_fees,has_coffee_in_rooms,has_bunk_beds_in_rooms,has_minifridge_in_rooms,has_safe_in_room,Good morning. What can I assist you with today?,"I'm going on vacation with my husband in Coronado, California, and we're looking for a place to relax with our two kids.",That sounds like fun! Let's see if I can find something here for you. What are you interested in?,"Oh, I don't know. I'm not too picky.","Well let's see. I found a room with a modern feel to it, and it has bunk beds in the room for the kids.","Oh, they'll love the bunk beds for sure. What else does it have?","Each room is equipped with coffee, a minifridge, and a safe.","Standard, okay. Still good to know.","The upscale feel really comes into play when you consider that this establishment has a full service spa, however it does have resort fees.","That's typical, but I could use a spa day. Anything other features?","Well this one's definitely not for the kids, but you and your husband might appreciate that it has a bar on site to add to a more contemporary feel.","Ha! Yes, you got me on that one! Where's this place again?","It's called the Hotel del Coronado. It's located on 1500 Orange Avenue in Coronado, zip code 92118.","Awesome, thanks so much. Sounds amazing!"
